group,nearest_tanimoto,id
Evaluation,0.60714287,8660
Evaluation,0.5833333,8661
Evaluation,0.59090906,8670
Evaluation,0.6,8687
Evaluation,0.54545456,8730
Evaluation,0.6,8732
Evaluation,0.64,8766
Evaluation,0.5925926,8818
Evaluation,0.5833333,8864
Evaluation,0.60714287,8872
Evaluation,0.61538464,8879
Evaluation,0.5714286,8926
Evaluation,0.7894737,9023
Evaluation,0.5925926,9040
Evaluation,0.6,9083
Evaluation,0.875,9095
Evaluation,0.59090906,9120
Evaluation,0.6363636,9128
Evaluation,0.6,9143
Evaluation,0.64,9150
Evaluation,0.6666667,9203
Evaluation,0.6086956,9204
Evaluation,0.65384614,9219
Evaluation,0.64,9234
Evaluation,0.77272725,9237
Evaluation,0.5769231,9248
Evaluation,0.5833333,9251
Evaluation,0.65217394,9253
Evaluation,0.68421054,9258
Evaluation,0.5769231,9259
Evaluation,0.8181818,9275
Evaluation,0.6,9284
Evaluation,0.45,9303
Evaluation,0.47619048,9305
Evaluation,0.5,9306
Evaluation,0.5833333,9307
Evaluation,0.5714286,9312
Evaluation,0.5,9319
Evaluation,0.6,9336
Evaluation,0.57894737,9342
Evaluation,0.5714286,9374
Evaluation,0.5,9377
Evaluation,0.5555556,9378
Evaluation,0.4848485,9381
Evaluation,0.625,9391
Evaluation,0.7368421,9402
Evaluation,0.65384614,9415
Evaluation,0.71428573,9417
Evaluation,0.61904764,9425
Evaluation,0.68,9451
Evaluation,0.61904764,9465
Evaluation,0.65384614,9521
Evaluation,0.65,9533
Evaluation,0.64285713,9541
Evaluation,0.6551724,9554
Evaluation,0.59090906,9568
Evaluation,0.5,9579
Evaluation,0.61538464,9590
Evaluation,0.5714286,9603
Evaluation,0.5925926,9618
Evaluation,0.5,9633
Evaluation,1.0,9656
Evaluation,0.6,9713
Evaluation,0.42105263,9740
Evaluation,0.42105263,9741
Evaluation,0.5625,9796
Evaluation,0.6086956,9801
Evaluation,0.61904764,9808
Evaluation,0.61904764,9811
Evaluation,0.5625,9817
Evaluation,1.0,9818
Evaluation,0.6111111,9820
Evaluation,0.61904764,9826
Evaluation,0.5263158,9836
Evaluation,0.5,9839
Evaluation,0.7,9847
Evaluation,0.61904764,9879
Evaluation,0.625,9908
Evaluation,0.64285713,9912
Evaluation,0.6363636,9922
Evaluation,0.8,9941
Evaluation,0.5714286,9948
Evaluation,0.64,9978
Evaluation,0.64285713,9985
Evaluation,0.6666667,9987
Evaluation,0.6086956,9996
Evaluation,0.47826087,9999
Evaluation,0.6,10027
Evaluation,0.64285713,10029
Evaluation,0.55,10038
Evaluation,0.6,10040
Evaluation,0.61538464,10117
Evaluation,0.5,10119
Evaluation,0.6666667,10138
Evaluation,0.7647059,10160
Evaluation,0.61538464,10219
Evaluation,1.0,10286
Evaluation,0.34285715,10287
Evaluation,0.61538464,10292
Evaluation,0.4642857,10329
Evaluation,0.65384614,10332
Evaluation,0.64705884,10335
Evaluation,0.64,10336
Evaluation,0.6666667,10491
Evaluation,0.6923077,10521
Evaluation,0.61538464,10523
Evaluation,0.5714286,10553
Evaluation,0.68,10556
Evaluation,0.6296296,10584
Evaluation,1.0,10600
Evaluation,1.0,10602
Evaluation,1.0,10604
Evaluation,0.5263158,10612
Evaluation,0.5,10627
Evaluation,0.47619048,10630
Evaluation,0.6,10639
Evaluation,0.61904764,10643
Evaluation,0.6086956,10661
Evaluation,0.6,10665
Evaluation,0.52380955,10677
Evaluation,0.6296296,10715
Evaluation,1.0,10721
Evaluation,0.8,10729
Evaluation,0.8333333,10844
Evaluation,0.6363636,10865
Evaluation,0.54545456,10877
Evaluation,0.7083333,10888
Evaluation,0.7894737,10896
Evaluation,0.5555556,10965
Evaluation,0.5555556,10966
Evaluation,0.6666667,10973
Evaluation,0.57894737,10984
Evaluation,0.54545456,10994
Evaluation,0.6,11000
Evaluation,0.5714286,11047
Evaluation,0.84210527,11053
Evaluation,0.6086956,11065
Evaluation,0.64,11066
Evaluation,0.6,11073
Evaluation,0.45833334,11076
Evaluation,0.6956522,11078
Evaluation,0.625,11079
Evaluation,0.68421054,11088
Evaluation,0.6,11115
Evaluation,0.55,11123
Evaluation,0.6666667,11159
Evaluation,0.61904764,11162
Evaluation,0.6086956,11180
Evaluation,0.4642857,11200
Evaluation,0.36363637,11211
Evaluation,0.625,11221
Evaluation,0.5,11225
Evaluation,0.6363636,11241
Evaluation,0.61904764,11245
Evaluation,0.6,11256
Evaluation,0.6923077,11265
Evaluation,0.52380955,11266
Evaluation,0.6086956,11268
Evaluation,0.64285713,11270
Evaluation,0.65,11273
Evaluation,0.65,11274
Evaluation,0.6818182,11283
Evaluation,0.68,11285
Evaluation,0.65217394,11309
Evaluation,0.45833334,11336
Evaluation,0.6363636,11349
Evaluation,0.6666667,11353
Evaluation,0.6666667,11356
Evaluation,0.6363636,11379
Evaluation,0.6956522,11381
Evaluation,0.6,11393
Evaluation,0.6666667,11398
Evaluation,0.6315789,11406
Evaluation,0.4827586,11408
Evaluation,0.5625,11409
Evaluation,0.5,11415
Evaluation,0.5263158,11416
Evaluation,0.6,11421
Evaluation,0.57894737,11422
Evaluation,0.5263158,11447
Evaluation,0.64705884,11462
Evaluation,0.54545456,11486
Evaluation,0.57894737,11491
Evaluation,0.61904764,11498
Evaluation,0.6,11502
Evaluation,0.61538464,11510
Evaluation,0.55,11513
Evaluation,0.57894737,11514
Evaluation,1.0,11517
Evaluation,0.6086956,11530
Evaluation,0.65217394,11550
Evaluation,0.6111111,11560
Evaluation,0.6666667,11573
Evaluation,0.5,11574
Evaluation,0.7083333,11665
Evaluation,0.6666667,11698
Evaluation,0.625,11710
Evaluation,0.6,11712
Evaluation,0.55,11730
Evaluation,0.5,11734
Evaluation,1.0,11738
Evaluation,0.44117647,11755
